hurricane_name,date,severity,deaths,location,injuries,damage_billions,duration_days
Nate (2017),2017-10-04 to 2017-10-09,Category 1,45,"Nicaragua; Honduras; Louisiana; Mississippi",Not reported,0.79,5
Ophelia (2017),2017-10-09 to 2017-10-18,Category 3,3,"Portugal; Ireland; United Kingdom",Not reported,0.1,9
Dora (2017),2017-07-24 to 2017-08-01,Category 4,0,None reported,Not reported,0,8
Eugene (2017),2017-07-27 to 2017-08-04,Category 4,0,None reported,Not reported,0,8
Fernanda (2017),2017-07-13 to 2017-07-22,Category 4,0,None reported,Not reported,0,9
Hilary (2017),2017-08-11 to 2017-08-19,Category 4,0,None reported,Not reported,0,8
Irwin (2017),2017-08-22 to 2017-08-28,Category 3,0,None reported,Not reported,0,6
Kenneth (2017),2017-08-30 to 2017-09-08,Category 4,0,None reported,Not reported,0,9
Otis (2017),2017-09-04 to 2017-09-07,Category 1,0,None reported,Not reported,0,3
Max (2017),2017-09-13 to 2017-09-15,Category 1,3,Guerrero,Not reported,0.01,2
Norma (2017),2017-09-15 to 2017-09-20,Category 2,0,Baja California Sur,Not reported,0,5
Beryl (2018),2018-07-04 to 2018-07-15,Category 1,0,Lesser Antilles,Not reported,0,11
Chris (2018),2018-07-06 to 2018-07-12,Category 2,0,Newfoundland,Not reported,0,6
Florence (2018),2018-08-31 to 2018-09-18,Category 4,57,"North Carolina; South Carolina",Not reported,24.0,18
Helene (2018),2018-09-07 to 2018-09-18,Category 3,0,"United Kingdom; Ireland",Not reported,0,11
Isaac (2018),2018-09-07 to 2018-09-16,Category 1,0,Lesser Antilles,Not reported,0,9
Leslie (2018),2018-09-23 to 2018-10-13,Category 1,1,"Azores; Portugal; Spain",Not reported,0.03,20
Michael (2018),2018-10-06 to 2018-10-11,Category 5,74,"Central America; Cuba; Florida; Georgia; Carolinas",Not reported,25.5,5
Oscar (2018),2018-10-26 to 2018-11-02,Category 3,0,None reported,Not reported,0,7
Walaka (2018),2018-09-29 to 2018-10-06,Category 5,0,Northwestern Hawaiian Islands,Not reported,0,7
Aletta (2018),2018-07-06 to 2018-07-13,Category 4,0,None reported,Not reported,0,7
Bud (2018),2018-06-09 to 2018-06-15,Category 4,0,Southwestern Mexico,Not reported,0,6
Fabio (2018),2018-07-01 to 2018-07-08,Category 4,0,None reported,Not reported,0,7
Hector (2018),2018-07-31 to 2018-08-13,Category 4,0,Hawaiian Islands,Not reported,0,13
John (2018),2018-08-24 to 2018-09-04,Category 4,0,None reported,Not reported,0,11
Lane (2018),2018-08-15 to 2018-08-28,Category 5,0,Hawaiian Islands,Not reported,0.25,13
Miriam (2018),2018-08-30 to 2018-09-08,Category 4,0,None reported,Not reported,0,9
Norman (2018),2018-09-02 to 2018-09-10,Category 4,0,None reported,Not reported,0,8
Olivia (2018),2018-09-01 to 2018-09-13,Category 4,0,Hawaiian Islands,Not reported,0.01,12
Rosa (2018),2018-09-25 to 2018-10-02,Category 4,2,"Baja California; Arizona",Not reported,0,7
Sergio (2018),2018-09-30 to 2018-10-13,Category 4,0,None reported,Not reported,0,13
Willa (2018),2018-10-20 to 2018-10-24,Category 5,12,"Sinaloa; Nayarit; Durango",Not reported,0.825,4
Barry (2019),2019-07-11 to 2019-07-15,Category 1,0,Louisiana,Not reported,0.6,4
Dorian (2019),2019-08-24 to 2019-09-10,Category 5,84,"Bahamas; East Coast of the United States; Atlantic Canada",Not reported,3.4,17
Humberto (2019),2019-09-13 to 2019-09-19,Category 3,0,Bermuda,Not reported,0,6
Jerry (2019),2019-09-17 to 2019-09-24,Category 3,0,Leeward Islands,Not reported,0,7
Lorenzo (2019),2019-09-22 to 2019-10-02,Category 5,4,"Azores; Ireland; United Kingdom",Not reported,0.05,10
Pablo (2019),2019-10-25 to 2019-10-29,Category 1,0,None reported,Not reported,0,4
Alvin (2019),2019-06-24 to 2019-06-27,Category 1,0,None reported,Not reported,0,3
Barbara (2019),2019-06-30 to 2019-07-07,Category 4,0,None reported,Not reported,0,7
Erick (2019),2019-07-24 to 2019-08-04,Category 4,0,Hawaiian Islands,Not reported,0,11
Flossie (2019),2019-08-27 to 2019-08-31,Category 1,0,Hawaiian Islands,Not reported,0,4
Juliette (2019),2019-09-19 to 2019-09-26,Category 4,0,None reported,Not reported,0,7
Kiko (2019),2019-08-19 to 2019-09-01,Category 4,0,None reported,Not reported,0,13
Lorena (2019),2019-09-17 to 2019-09-22,Category 1,2,"Baja California Sur; Jalisco",Not reported,0.01,5
Hanna (2020),2020-07-23 to 2020-07-28,Category 1,5,Texas,Not reported,1.1,6
Isaias (2020),2020-07-30 to 2020-08-05,Category 1,16,"Caribbean; Bahamas; East Coast of the United States",Not reported,4.8,7
Laura (2020),2020-08-20 to 2020-08-29,Category 4,47,"Hispaniola; Louisiana; Texas",Not reported,19.0,10
Marco (2020),2020-08-20 to 2020-08-25,Category 1,0,Louisiana,Not reported,0,6
Nana (2020),2020-09-01 to 2020-09-03,Category 1,0,Belize,Not reported,0.02,3
Paulette (2020),2020-09-07 to 2020-09-22,Category 2,0,Bermuda,Not reported,0.03,16
Sally (2020),2020-09-11 to 2020-09-17,Category 2,5,"Florida; Alabama",Not reported,7.3,7
Teddy (2020),2020-09-12 to 2020-09-23,Category 4,2,"Bermuda; Atlantic Canada",Not reported,0,12
Gamma (2020),2020-10-02 to 2020-10-06,Category 1,6,Yucatan Peninsula,Not reported,0.02,5
Delta (2020),2020-10-04 to 2020-10-10,Category 4,6,"Yucatan Peninsula; Louisiana",Not reported,2.9,7
Epsilon (2020),2020-10-19 to 2020-10-26,Category 3,0,Bermuda,Not reported,0,8
Zeta (2020),2020-10-24 to 2020-10-29,Category 3,6,"Yucatan Peninsula; Louisiana",Not reported,4.4,6
Eta (2020),2020-10-31 to 2020-11-13,Category 4,200,"Nicaragua; Honduras; Guatemala; Cuba; Florida",Not reported,8.0,14
Iota (2020),2020-11-13 to 2020-11-18,Category 5,84,"Nicaragua; Honduras; Colombia",Not reported,1.4,6
Douglas (2020),2020-07-20 to 2020-07-28,Category 4,0,Hawaiian Islands,Not reported,0,9
Elida (2020),2020-08-12 to 2020-08-17,Category 4,0,None reported,Not reported,0,6
Genevieve (2020),2020-08-16 to 2020-08-21,Category 4,4,Baja California Sur,Not reported,0.01,6
Marie (2020),2020-08-22 to 2020-08-25,Category 3,0,None reported,Not reported,0,4
Elsa (2021),2021-06-30 to 2021-07-09,Category 1,13,"Caribbean; Cuba; Florida",Not reported,0.08,10
Grace (2021),2021-08-13 to 2021-08-21,Category 3,11,"Haiti; Jamaica; Yucatan Peninsula; Veracruz",Not reported,0.5,9
Henri (2021),2021-08-15 to 2021-08-24,Category 1,1,"Northeastern United States",Not reported,0.55,10
Ida (2021),2021-08-26 to 2021-09-04,Category 4,107,"Cuba; Louisiana; Northeastern United States",Not reported,75.0,10
Larry (2021),2021-08-31 to 2021-09-11,Category 3,0,Newfoundland,Not reported,0,12
Nicholas (2021),2021-09-12 to 2021-09-16,Category 1,1,Texas,Not reported,0.1,5
Sam (2021),2021-09-22 to 2021-10-05,Category 4,0,None reported,Not reported,0,14
Enrique (2021),2021-06-24 to 2021-06-28,Category 3,0,Jalisco,Not reported,0,5
Felicia (2021),2021-07-02 to 2021-07-19,Category 4,0,None reported,Not reported,0,18
Hilda (2021),2021-07-30 to 2021-08-04,Category 1,0,None reported,Not reported,0,6
Linda (2021),2021-08-10 to 2021-08-16,Category 4,0,None reported,Not reported,0,7
Nora (2021),2021-08-25 to 2021-08-31,Category 1,3,Jalisco,Not reported,0.01,7
Olaf (2021),2021-09-07 to 2021-09-10,Category 2,0,Baja California Sur,Not reported,0.01,4
Pamela (2021),2021-10-10 to 2021-10-13,Category 2,0,Sinaloa,Not reported,0,4
Rick (2021),2021-10-23 to 2021-10-26,Category 1,3,Michoacan,Not reported,0.005,4
Bonnie (2022),2022-07-01 to 2022-07-09,Category 3,5,"Nicaragua; Costa Rica",Not reported,0,9
Danielle (2022),2022-09-01 to 2022-09-11,Category 4,0,None reported,Not reported,0,11
Earl (2022),2022-09-02 to 2022-09-11,Category 3,0,Bermuda,Not reported,0,10
Fiona (2022),2022-09-14 to 2022-09-24,Category 4,29,"Puerto Rico; Dominican Republic; Turks and Caicos; Nova Scotia",Not reported,3.1,11
Ian (2022),2022-09-23 to 2022-09-30,Category 5,161,"Cuba; Florida; South Carolina",Not reported,112.0,8
Julia (2022),2022-09-29 to 2022-10-09,Category 1,43,"Colombia; Venezuela; Nicaragua; Honduras; El Salvador",Not reported,0.15,11
Lisa (2022),2022-10-30 to 2022-11-05,Category 1,0,Belize,Not reported,0.03,7
Martin (2022),2022-11-01 to 2022-11-11,Category 3,0,None reported,Not reported,0,11
Nicole (2022),2022-11-07 to 2022-11-11,Category 1,5,Florida,Not reported,1.0,5
Agatha (2022),2022-05-28 to 2022-05-31,Category 3,11,Oaxaca,Not reported,0.03,4
Blas (2022),2022-06-15 to 2022-06-20,Category 3,0,None reported,Not reported,0,6
Darby (2022),2022-07-04 to 2022-07-14,Category 4,0,Hawaiian Islands,Not reported,0,11
Estelle (2022),2022-08-04 to 2022-08-10,Category 3,0,None reported,Not reported,0,7
Frank (2022),2022-08-24 to 2022-08-28,Category 4,0,None reported,Not reported,0,5
Howard (2022),2022-09-04 to 2022-09-08,Category 1,0,None reported,Not reported,0,5
Kay (2022),2022-09-04 to 2022-09-10,Category 2,2,"Baja California; Southern California",Not reported,0.01,6
Orlene (2022),2022-09-19 to 2022-09-23,Category 4,2,"Sinaloa; Nayarit",Not reported,0.03,5
Roslyn (2022),2022-10-20 to 2022-10-23,Category 4,4,"Nayarit; Jalisco",Not reported,0.3,4
Don (2023),2023-07-14 to 2023-07-24,Category 1,0,None reported,Not reported,0,10
Franklin (2023),2023-08-20 to 2023-08-31,Category 4,7,"Dominican Republic; Haiti; Bermuda",Not reported,0.03,11
Idalia (2023),2023-08-27 to 2023-08-31,Category 4,12,"Florida; Georgia; Carolinas",Not reported,3.6,4
Lee (2023),2023-09-05 to 2023-09-16,Category 5,1,"Caribbean; New England; Atlantic Canada",Not reported,0.03,11
Margot (2023),2023-09-07 to 2023-09-17,Category 2,0,None reported,Not reported,0,10
Nigel (2023),2023-09-15 to 2023-09-23,Category 3,0,None reported,Not reported,0,8
Tammy (2023),2023-10-18 to 2023-10-28,Category 2,1,Leeward Islands,Not reported,0.01,10
Dora (2023),2023-08-01 to 2023-08-15,Category 4,0,None reported,Not reported,0,14
Adrian (2023),2023-06-25 to 2023-06-29,Category 1,0,None reported,Not reported,0,4
Beatriz (2023),2023-06-30 to 2023-07-05,Category 4,0,None reported,Not reported,0,5
Calvin (2023),2023-07-11 to 2023-07-19,Category 1,0,Hawaiian Islands,Not reported,0,8
Fernanda (2023),2023-07-30 to 2023-08-09,Category 4,0,None reported,Not reported,0,10
Hilary (2023),2023-08-16 to 2023-08-20,Category 4,6,"Baja California; Southern California",Not reported,0.9,4
Jova (2023),2023-09-06 to 2023-09-13,Category 5,0,None reported,Not reported,0,7
Lidia (2023),2023-10-01 to 2023-10-11,Category 4,4,Jalisco,Not reported,0.06,10
Norma (2023),2023-10-14 to 2023-10-22,Category 3,8,Baja California Sur,Not reported,0.04,8
Otis (2023),2023-10-22 to 2023-10-25,Category 5,52,"Guerrero; Acapulco",Not reported,16.0,3
Beryl (2024),2024-06-28 to 2024-07-09,Category 5,68,"Grenada; Jamaica; Yucatan Peninsula; Texas",Not reported,6.5,11
Debby (2024),2024-08-03 to 2024-08-09,Category 1,13,"Florida; Georgia; Carolinas",Not reported,1.9,6
Ernesto (2024),2024-08-12 to 2024-08-20,Category 2,6,"Puerto Rico; Bermuda",Not reported,0.15,8
Francine (2024),2024-09-09 to 2024-09-12,Category 2,4,Louisiana,Not reported,1.5,3
Helene (2024),2024-09-24 to 2024-09-27,Category 4,250,"Florida; Georgia; Carolinas; Appalachian region",Not reported,78.0,3
Isaac (2024),2024-09-25 to 2024-10-02,Category 2,0,None reported,Not reported,0,7
Kirk (2024),2024-09-29 to 2024-10-07,Category 4,0,Western Europe,Not reported,0,8
Leslie (2024),2024-10-02 to 2024-10-12,Category 2,0,None reported,Not reported,0,10
Milton (2024),2024-10-05 to 2024-10-10,Category 5,35,Florida,Not reported,34.0,5
Oscar (2024),2024-10-19 to 2024-10-22,Category 1,8,Cuba,Not reported,0.03,3
Rafael (2024),2024-11-04 to 2024-11-11,Category 3,6,"Jamaica; Cuba",Not reported,0.1,7
Hone (2024),2024-08-22 to 2024-08-29,Category 1,0,Hawaiian Islands,Not reported,0,7
Carlotta (2024),2024-11-14 to 2024-11-19,Category 1,0,None reported,Not reported,0,5
Gilma (2024),2024-08-16 to 2024-08-24,Category 4,0,None reported,Not reported,0,8
John (2024),2024-09-22 to 2024-09-27,Category 3,29,Guerrero,Not reported,0.4,5
Kristy (2024),2024-10-14 to 2024-10-18,Category 4,0,None reported,Not reported,0,4
Erin (2025),2025-08-11 to 2025-08-28,Category 5,13,"Cape Verde; Leeward Islands; Puerto Rico; Hispaniola; Bahamas; East Coast of the United States; Bermuda; Atlantic Canada",Not reported,0.025,17
Gabrielle (2025),2025-09-18 to 2025-09-27,Category 4,2,"North Carolina; Azores; Iberian Peninsula; Sicily",Not reported,0.05,9
Humberto (2025),2025-09-24 to 2025-10-03,Category 5,5,"Bermuda; United Kingdom; Norway",Not reported,0.05,9
Imelda (2025),2025-09-28 to 2025-10-06,Category 2,3,"Leeward Islands; Greater Antilles; Bahamas; East Coast of the United States; Bermuda",Not reported,0.01,8
Melissa (2025),2025-10-21 to 2025-11-01,Category 5,95,"Windward Islands; Jamaica; Hispaniola; Colombia; Bahamas; Bermuda",Not reported,12.2,11
Iona (2025),2025-07-01 to 2025-07-06,Category 1,0,None reported,Not reported,0,5
Barbara (2025),2025-06-27 to 2025-07-02,Category 4,0,None reported,Not reported,0,5
Erick (2025),2025-06-17 to 2025-06-20,Category 4,4,"Oaxaca; Guerrero",Not reported,0.02,3
Flossie (2025),2025-06-29 to 2025-07-04,Category 3,0,None reported,Not reported,0,5
Gil (2025),2025-07-01 to 2025-07-06,Category 1,0,None reported,Not reported,0,5
Henriette (2025),2025-07-24 to 2025-08-01,Category 1,0,None reported,Not reported,0,8
Kiko (2025),2025-08-19 to 2025-08-25,Category 4,0,None reported,Not reported,0,6
Lorena (2025),2025-09-15 to 2025-09-19,Category 1,0,Baja California Sur,Not reported,0,4
Narda (2025),2025-09-26 to 2025-09-30,Category 1,0,Western Mexico,Not reported,0,4
Octave (2025),2025-10-08 to 2025-10-13,Category 1,0,Baja California Sur,Not reported,0,5
Priscilla (2025),2025-10-11 to 2025-10-18,Category 3,0,Baja California Peninsula,Not reported,0,7
